SN 2001iw 52231.50 Z  3.673e+00 4.756e-01 -14.1               
SN 2001iw 52232.48 Z  5.176e+00 3.268e-01  13.4               
SN 2001iw 52236.44 Z  1.249e+01 4.945e-01  10.5               
SN 2001iw 52252.45 Z  2.642e+01 3.895e-01   1.5               
SN 2001iw 52283.54 Z  1.278e+01 2.888e-01  24.7               
SN 2001iw 52288.52 Z  1.122e+01 1.196e-01  28.4               
SN 2001iw 52289.49 Z  9.647e+00 1.969e-01  29.1               
SN 2001iw 52323.44 Z  1.778e+00 4.376e-01  54.5               
SN 2001iw 52378.30 Z  0.000e+00 5.179e-01  95.4               
SN 2001ix 52232.56 I  0.000e+00 2.125e-01 -21.0               
SN 2001ix 52236.65 I -4.059e-01 5.740e-01 -18.6               
SN 2001ix 52252.62 I  3.895e+00 3.580e-01  -9.3 B -1.119 0.068
SN 2001ix 52263.57 I  6.942e+00 3.101e-01  -2.9 B -1.113 0.068
SN 2001ix 52283.64 I  5.446e+00 3.597e-01   8.8 B -1.141 0.068
SN 2001ix 52288.63 I  4.363e+00 9.581e-02  11.7 B -1.172 0.068
SN 2001ix 52289.66 I  4.406e+00 2.265e-01  12.3 B -1.179 0.068
SN 2001ix 52323.57 I  1.147e+00 5.278e-01  32.0 B -1.276 0.068
SN 2001ix 52377.41 I  2.778e-01 8.710e-02  63.4               
SN 2001ix 52236.59 R  0.000e+00 1.698e-01 -18.7               
SN 2001ix 52252.60 R  3.233e+00 1.939e-01  -9.3               
SN 2001ix 52283.62 R  3.203e+00 5.682e-02   8.8               
SN 2001ix 52288.60 R  2.322e+00 1.436e-01  11.7               
SN 2001ix 52289.64 R  2.218e+00 7.661e-02  12.3               
SN 2001ix 52323.60 R  5.082e-01 3.850e-01  32.1               
SN 2001ix 52378.28 R  3.260e-01 8.896e-02  63.9               
SN 2001ix 52232.61 Z  3.828e-01 4.295e-01 -21.0               
SN 2001ix 52236.62 Z -1.934e+00 1.035e+00 -18.7               
SN 2001ix 52283.67 Z  5.997e+00 6.007e-01   8.8 V -1.104 0.063
SN 2001ix 52288.66 Z  6.253e+00 4.961e-01  11.7 V -1.093 0.063
SN 2001ix 52289.48 Z  6.455e+00 9.034e-02  12.2 V -1.090 0.063
SN 2001ix 52323.63 Z  2.798e+00 6.007e-01  32.1 V -0.910 0.063
SN 2001ix 52369.38 Z  1.671e-02 1.716e+00  58.8               
SN 2001ix 52377.35 Z -3.066e-01 8.289e-01  63.4               
SN 2001ix 52378.35 Z  3.971e-01 9.494e-01  64.0               
SN 2001iy 52232.56 I  1.446e+00 2.090e-02 -12.1 V -0.850 0.075
SN 2001iy 52236.65 I  4.244e+00 1.403e+00  -9.5 V -0.879 0.075
SN 2001iy 52252.62 I  1.085e+01 4.390e-01   0.7 V -0.858 0.075
SN 2001iy 52263.57 I  9.823e+00 3.911e-01   7.7 V -0.894 0.075
SN 2001iy 52283.64 I  4.604e+00 5.731e-01  20.5 V -0.785 0.075
SN 2001iy 52288.63 I  3.529e+00 3.423e-01  23.6 V -0.765 0.075
SN 2001iy 52289.66 I  3.781e+00 5.069e-01  24.3 V -0.762 0.075
SN 2001iy 52323.57 I  6.602e-01 1.124e-01  45.9               
SN 2001iy 52377.41 I  2.475e-16 7.334e-01  80.2               
SN 2001iy 52236.59 R  5.481e+00 1.347e-01  -9.5 B -0.645 0.055
SN 2001iy 52252.60 R  1.090e+01 1.896e-01   0.7 B -0.624 0.055
SN 2001iy 52283.62 R  1.786e+00 9.683e-02  20.4 B -0.569 0.055
SN 2001iy 52288.60 R  1.447e+00 1.579e-01  23.6 B -0.569 0.055
SN 2001iy 52289.64 R  1.270e+00 6.555e-02  24.3 B -0.569 0.055
SN 2001iy 52323.60 R  1.964e-02 3.767e-01  45.9               
SN 2001iy 52378.28 R -1.219e-03 9.385e-02  80.8               
SN 2001iy 52232.61 Z  1.786e+00 3.677e-01 -12.1               
SN 2001iy 52236.62 Z  5.113e+00 5.769e-01  -9.5               
SN 2001iy 52283.67 Z  4.769e+00 4.596e-01  20.5               
